"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0045576","mast cell activation","11/111","61/18866",5.76016375211478e-14,1.37898848678892e-10,1.05787186388139e-10,"11314/2207/3937/695/2624/3815/5880/8832/4067/27040/3566",11
"BP","GO:0043303","mast cell degranulation","10/111","47/18866",1.41864209514855e-13,1.37898848678892e-10,1.05787186388139e-10,"11314/2207/695/2624/3815/5880/8832/4067/27040/3566",10
"BP","GO:0002279","mast cell activation involved in immune response","10/111","48/18866",1.78324075108577e-13,1.37898848678892e-10,1.05787186388139e-10,"11314/2207/695/2624/3815/5880/8832/4067/27040/3566",10
"BP","GO:0002448","mast cell mediated immunity","10/111","49/18866",2.22956909747602e-13,1.37898848678892e-10,1.05787186388139e-10,"11314/2207/695/2624/3815/5880/8832/4067/27040/3566",10
"BP","GO:0042110","T cell activation","21/111","483/18866",6.72038679625223e-13,3.3252473867856e-10,2.55091734603006e-10,"11314/5788/2207/54440/8809/3936/3955/3815/301/3956/5880/54900/4067/5777/3958/3718/5914/27040/960/3566/6441",21
"BP","GO:0007159","leukocyte cell-cell adhesion","18/111","364/18866",4.20408223847626e-12,1.73348324299838e-09,1.32981759227591e-09,"11314/5788/54440/5724/301/3956/5880/54900/4067/5777/3958/3718/240/5914/10318/960/3566/6441",18
"BP","GO:0050866","negative regulation of cell activation","14/111","207/18866",1.9457352017262e-11,6.12567929358288e-09,4.69922978612515e-09,"11314/5788/695/301/64092/54900/8832/4067/5777/3958/3718/928/3566/6441",14
"BP","GO:0032418","lysosome localization","10/111","75/18866",1.98081787989745e-11,6.12567929358288e-09,4.69922978612515e-09,"11314/2207/695/2624/3815/5880/8832/4067/27040/3566",10
"BP","GO:0002703","regulation of leukocyte mediated immunity","14/111","211/18866",2.51669204342438e-11,6.91810679492435e-09,5.30712953718615e-09,"11314/5788/2207/54440/8809/695/2624/5724/5880/8832/4067/5777/3718/3566",14
"BP","GO:0002886","regulation of myeloid leukocyte mediated immunity","9/111","58/18866",5.08725527669492e-11,1.17264157252949e-08,8.99575694707343e-09,"11314/2207/695/2624/5724/5880/8832/4067/3566",9
"BP","GO:0002699","positive regulation of immune effector process","14/111","223/18866",5.27761167635149e-11,1.17264157252949e-08,8.99575694707343e-09,"11314/5788/2207/54440/8809/695/2624/5724/301/5880/8832/4067/5914/3566",14
"BP","GO:0043312","neutrophil degranulation","19/111","487/18866",6.13471580238785e-11,1.17264157252949e-08,8.99575694707343e-09,"11314/5788/2207/9535/51411/963/5724/3687/5023/79930/1535/11240/83716/5777/3958/240/391/6282/960",19
"BP","GO:0002695","negative regulation of leukocyte activation","13/111","184/18866",6.16181909574913e-11,1.17264157252949e-08,8.99575694707343e-09,"11314/5788/695/301/64092/54900/8832/4067/5777/3958/3718/3566/6441",13
"BP","GO:0002283","neutrophil activation involved in immune response","19/111","490/18866",6.8118273330912e-11,1.20374720157626e-08,9.23437945982213e-09,"11314/5788/2207/9535/51411/963/5724/3687/5023/79930/1535/11240/83716/5777/3958/240/391/6282/960",19
"BP","GO:1903037","regulation of leukocyte cell-cell adhesion","16/111","329/18866",9.28903643769398e-11,1.53207174312366e-08,1.1753075576956e-08,"11314/5788/54440/5724/301/3956/54900/4067/5777/3958/3718/240/5914/960/3566/6441",16
"BP","GO:0002683","negative regulation of immune system process","18/111","463/18866",2.18847210030618e-10,3.38392498509843e-08,2.59593105056056e-08,"11314/5788/2207/695/2624/301/64092/11240/54900/8832/4067/5777/3958/7538/3718/5914/3566/6441",18
"BP","GO:0043300","regulation of leukocyte degranulation","8/111","47/18866",2.8895913879158e-10,4.20520534923747e-08,3.22596487455864e-08,"11314/2207/2624/5724/5880/8832/4067/3566",8
"BP","GO:0043304","regulation of mast cell degranulation","7/111","32/18866",6.008522062591e-10,8.25837976825007e-08,6.33530133266174e-08,"11314/2207/2624/5880/8832/4067/3566",7
"BP","GO:0033006","regulation of mast cell activation involved in immune response","7/111","33/18866",7.58943085653425e-10,9.58967775617185e-08,7.35658809274469e-08,"11314/2207/2624/5880/8832/4067/3566",7
"BP","GO:0022407","regulation of cell-cell adhesion","17/111","439/18866",7.75236681986406e-10,9.58967775617185e-08,7.35658809274469e-08,"11314/5788/54440/5724/301/3956/54900/4067/5777/3958/3718/928/240/5914/960/3566/6441",17
"BP","GO:0050863","regulation of T cell activation","15/111","332/18866",1.03820003678059e-09,1.19105294609551e-07,9.13699724209763e-08,"11314/5788/54440/301/3956/5880/54900/4067/5777/3958/3718/5914/27040/3566/6441",15
